media_type,channel_name,is_public_channel,year,women_expression_rate,speech_rate,nb_hours_analyzed
radio,Chérie FM,False,2002,47.10994424236209,15.738694355458852,718.0
radio,Chérie FM,False,2003,46.03444471353921,16.250258185942855,1617.0
radio,Chérie FM,False,2004,48.383607470997276,15.035449792785865,1644.0
radio,Chérie FM,False,2005,45.45162674591405,16.063777716161454,1624.0
radio,Chérie FM,False,2006,47.81930725989837,15.602842103982228,1604.0
radio,Chérie FM,False,2007,43.94302035045671,15.672456051660472,1571.0
radio,Chérie FM,False,2008,51.39922002110472,17.538002781930835,1663.0
radio,Chérie FM,False,2009,49.95436887273718,15.931910989320668,1677.0
radio,Chérie FM,False,2010,48.06286688394447,15.948171474517942,1585.0
radio,Chérie FM,False,2011,47.83215331479781,17.981123963808614,1601.0
radio,Chérie FM,False,2012,51.89108385882666,18.3779913059846,1636.0
radio,Chérie FM,False,2013,54.119721666465516,20.891884917495258,1658.0
radio,Chérie FM,False,2014,50.302610561492955,18.14301169443178,1699.0
radio,Chérie FM,False,2015,51.22796481514281,22.28877114862192,1616.0
radio,Chérie FM,False,2016,51.1705051341857,21.628084750520216,1599.0
radio,Chérie FM,False,2017,53.087648830928735,19.57975860697652,1829.0
radio,Chérie FM,False,2018,52.14109768273819,18.504944965908045,2753.0
radio,Chérie FM,False,2019,48.675315574656416,18.217169989055183,1120.0
radio,Europe 1,False,2001,22.051852389558878,92.06169907150829,1622.0
radio,Europe 1,False,2002,24.267006847306977,93.03516172390913,1656.0
radio,Europe 1,False,2003,26.718574877676666,91.58520280440973,1626.0
radio,Europe 1,False,2004,23.684981245625156,91.82483487130261,1613.0
radio,Europe 1,False,2005,23.67489577214853,92.27594157074944,1604.0
radio,Europe 1,False,2006,25.4322486717997,92.45591471484485,1607.0
radio,Europe 1,False,2007,25.98819403652996,94.23676601007385,1675.0
radio,Europe 1,False,2008,26.29679839844971,93.56047100399054,1662.0
radio,Europe 1,False,2009,24.83838793071237,91.36523729878456,1601.0
radio,Europe 1,False,2010,26.79700518053025,90.72849279145649,1615.0
radio,Europe 1,False,2011,28.042712181069323,91.10234126136247,1611.0
radio,Europe 1,False,2012,30.137980725229596,91.21339778366206,1666.0
radio,Europe 1,False,2013,32.343932012018655,91.05777205778165,1589.0
radio,Europe 1,False,2014,31.06819366431403,92.21407417690551,1609.0
radio,Europe 1,False,2015,32.081066642915346,92.36254062734442,1612.0
radio,Europe 1,False,2016,33.94685205564997,89.3686842573936,1616.0
radio,Europe 1,False,2017,36.80892490440637,88.15957252646915,1852.0
radio,Europe 1,False,2018,39.15215807188105,89.31774950269055,2735.0
radio,Europe 1,False,2019,40.379329997513004,87.89587274033423,1121.0
radio,France Bleu,True,2000,38.311947336877175,39.47604028345998,570.0
radio,France Bleu,True,2001,34.63646580056023,41.481173775147234,1597.0
