"total_cup_points","species","owner","country_of_origin","farm_name","variety","processing_method","aroma","flavor","aftertaste","acidity","body","balance","uniformity","clean_cup","sweetness","cupper_points","moisture","category_one_defects","quakers","color","altitude_low_meters","altitude_high_meters","altitude_mean_meters"
"86.5","Arabica","specialty coffee-korea","Tanzania, United Republic Of","NA","NA","Natural / Dry","8.42","8.17","8.17",8,"7.58",8,10,10,10,"8.17","0.11",0,0,"Bluish-Green","NA","NA","NA"
"86.42","Arabica","nucoffee","Brazil","fazenda recreio","Bourbon","Natural / Dry","8.5","8.17",8,"7.75",8,8,10,10,10,8,"0.12",0,0,"Green",1300,1300,1300
"86.33","Arabica","francisco a mena","Costa Rica","exclusive coffees s.a.","Caturra","Washed / Wet","8.17","7.83",8,"8.08","7.83",8,10,10,10,"8.42",0,0,0,"Blue-Green",1300,1300,1300
"86.25","Arabica","hider abamecha","Ethiopia","haider abamecha coffee plantation","NA","Natural / Dry",8,"8.08","7.92",8,"8.08","8.08",10,10,10,"8.08","0.1",0,0,"Green",1750,1800,1775
"86.25","Arabica","daniel magu","Kenya","kangunu","SL34","Washed / Wet","8.08",8,8,"8.25","7.92","7.92",10,10,10,"8.08","0.12",0,0,"Blue-Green",1800,1800,1800
"86.25","Arabica","kona pacific farmers cooperative","United States (Hawaii)","NA","Hawaiian Kona","Natural / Dry","8.08","8.17",8,"7.92","7.92","7.83",10,10,10,"8.33",0,1,0,"NA","NA","NA","NA"
"86.25","Arabica","kona pacific farmers cooperative","United States (Hawaii)","kona pacific farmers cooperative","NA","NA","8.25","8.42","8.08","7.75","7.67","7.83",10,10,10,"8.25",0,2,0,"NA","NA","NA","NA"
"86.25","Arabica","ethiopia commodity exchange","Ethiopia","phone number | 0911-51-08-01, email | at","NA","NA","7.92","7.75","8.08","8.08","8.08","8.17",10,10,10,"8.17","0.1",0,0,"NA","NA","NA","NA"
"86.17","Arabica","cqi q coffee sample representative","United States","la primavera","Other","Washed / Wet","7.67","8.17",8,8,"8.17","8.08",10,10,10,"8.08",0,0,0,"NA",1941,1941,1941
"86.17","Arabica","itdp international","Thailand","co-op #12","Caturra","Washed / Wet","7.83","8.33","7.83","8.25","7.58","7.92",10,10,10,"8.42","0.1",1,0,"Green",1300,1300,1300
"86.17","Arabica","jacques pereira carneiro","Brazil","pereira estate coffee","Yellow Bourbon","NA","8.17","7.92","7.92","7.75","8.33",8,10,10,10,"8.08","0.08",0,0,"NA",12,12,12
"86.17","Arabica","jacques pereira carneiro","Brazil","pereira estate coffee","Yellow Bourbon","NA","8.42","7.92",8,"7.75","7.92",8,10,10,10,"8.17","0.01",0,0,"NA",12,12,12
"86.08","Arabica","lin, che-hao krude 林哲豪","Taiwan","sunshine valley estate 向陽高山咖啡","Bourbon","Semi-washed / Semi-pulped","8.08","8.17","7.75","8.08","7.75","7.83",10,10,10,"8.42","0.12",0,0,"Green",1000,1000,1000
"86.08","Arabica","jungle estate","Kenya","jungle estate","SL28","Natural / Dry","8.08","8.08",8,8,"7.83","8.08",10,10,10,8,"0.11",0,0,"Bluish-Green",1754,1754,1754
"86.08","Arabica","nucoffee","Brazil","fazenda kaquend","Bourbon","Semi-washed / Semi-pulped","8.33",8,8,8,"7.75",8,10,10,10,8,"0.11",0,0,"Blue-Green",1250,1250,1250
86,"Arabica","great lakes coffee uganda","Uganda","kaasayi","NA","Semi-washed / Semi-pulped","8.08","8.08","7.83","7.92","8.08","7.92",10,10,10,"8.08",0,0,0,"NA","NA","NA","NA"
86,"Arabica","lusso lab","Colombia","ecobio colombia","Caturra","Washed / Wet","7.75","7.92","7.83","8.08","8.08","8.17",10,10,10,"8.17","0.12",1,0,"Green",900,1500,1200
86,"Arabica","lusso lab","Kenya","kianjavi","SL28","Washed / Wet","7.92","8.17","7.83","8.5","7.5","7.92",10,10,10,"8.17","0.11",0,0,"Green",1520,2200,1860
86,"Arabica","afca","Uganda","NA","Other","Washed / Wet","8.25",8,"7.83","8.08",8,"7.92",10,10,10,"7.92","0.1",0,0,"Blue-Green",1400,1900,1650
86,"Arabica","ethiopia commodity exchange","Ethiopia","contact | sidacoop@ethionet.net","NA","NA","7.75","8.08",8,"8.25",8,8,10,10,10,"7.92","0.01",0,0,"NA",1500,2000,1750
86,"Arabica","grounds for health admin","United States (Hawaii)","hula daddy kona coffee","NA","NA","8.33","8.17","7.75",8,"7.75","7.83",10,10,10,"8.17",0,0,0,"NA","426.72","426.72","426.72"
"85.92","Arabica","juan luis alvarado romero","Guatemala","la esperanza y anexos","Bourbon","Washed / Wet","7.92","8.08","7.92","8.08","8.08","7.83",10,10,10,8,"0.1",0,1,"Green","NA","NA","NA"
"85.92","Arabica","kawacom uganda ltd","Uganda","sipi organic coffee project","SL14","Natural / Dry","8.17","8.17","7.92","8.08","7.83","7.75",10,10,10,8,"0.12",0,0,"Green",1400,1900,1650
"85.92","Arabica","exportadora de cafe condor s.a","Colombia","NA","Caturra","Washed / Wet",8,8,8,"8.17","7.83",8,10,10,10,"7.92",0,1,0,"Blue-Green",1800,1800,1800
"85.83","Arabica","gonzalo hernandez","Panama","la berlina estate","Gesha","Washed / Wet",8,8,"7.92","8.08","7.83",8,10,10,10,8,"0.08",0,1,"Bluish-Green",1600,1600,1600
"85.83","Arabica","ibrahim hussien speciality coffee producer &export","Ethiopia","NA","NA","Washed / Wet","7.83","8.08","7.92","8.08",8,"7.92",10,10,10,8,"0.1",0,0,"Green",1800,2000,1900
"85.83","Arabica","juan luis alvarado romero","Guatemala","valparaiso","Bourbon","Washed / Wet","7.83",8,8,"8.17","7.83",8,10,10,10,8,"0.12",0,0,"Green",1524,1524,1524
"85.83","Arabica","juan luis alvarado romero","Guatemala","finca el limon","Catuai","Washed / Wet",8,8,"7.83","8.33","7.83","7.83",10,10,10,8,"0.1",0,0,"Bluish-Green","1417.32","1417.32","1417.32"
"85.75","Arabica","seid damtew coffee planataion","Ethiopia","seid damtew coffee planation","Caturra","Natural / Dry","7.83",8,"7.83","8.17","7.92",8,10,10,10,8,"0.09",0,4,"None","NA","NA","NA"
"85.75","Arabica","dane loraas","Peru","NA","NA","Washed / Wet",8,8,8,"8.08","7.92","7.75",10,10,10,8,"0.1",4,0,"Green","NA","NA","NA"
"85.75","Arabica","colbran coffeelands, ltd.","Papua New Guinea","tairora cherry – bonta","NA","Washed / Wet","8.33","8.42","7.83","8.33",8,"8.25","9.33","9.33",10,"7.92","0.12",0,0,"Bluish-Green",1700,1700,1700
"85.58","Arabica","atlantic specialty coffee","El Salvador","el majahual","Bourbon","Washed / Wet","7.92","8.17",8,"7.92","7.75","7.83",10,10,10,8,"0.1",0,0,"Blue-Green",1500,1500,1500
"85.58","Arabica","lusso lab","El Salvador","finca la esmeralda","Bourbon","Semi-washed / Semi-pulped","7.83",8,8,"7.75","7.92","8.17",10,10,10,"7.92","0.11",0,0,"None",1300,1400,1350
"85.58","Arabica","kona pacific farmers cooperative","United States (Hawaii)","NA","Hawaiian Kona","Natural / Dry","7.83",8,"7.92","7.75","8.08",8,10,10,10,8,0,0,0,"NA","NA","NA","NA"
"85.5","Arabica","essencecoffee","Panama","elida estate","Caturra","Natural / Dry",8,"7.75","7.83","7.83","7.67","8.58",10,10,10,"7.83","0.09",2,0,"NA",1680,1680,1680
"85.5","Arabica","essencecoffee","Kenya","inoi","SL28","Natural / Dry","7.92","7.92","7.83","8.08","7.83","7.92",10,10,10,8,"0.1",0,0,"Green",1900,1900,1900
"85.5","Arabica","assefa belay coffee producer","Ethiopia","NA","Other","Natural / Dry","7.83",8,"7.83","7.92","7.83","8.08",10,10,10,8,"0.12",0,0,"Green",1800,2000,1900
"85.5","Arabica","kyagalanyi ltd","Uganda","buginyanya","SL14","Washed / Wet","8.33","7.92","7.67","7.92","7.67","7.92",10,10,10,"8.08","0.12",0,0,"Green",1600,1600,1600
"85.5","Arabica","juan luis alvarado romero","Guatemala","asoperc","Bourbon","Washed / Wet",8,"7.83","7.67","8.33","7.83",8,10,10,10,"7.83","0.11",0,0,"Green","1706.88","1755.648","1731.264"
"85.42","Arabica","assefa belay coffee producer","Ethiopia","NA","NA","Washed / Wet","7.75","7.83","7.83","8.17","7.92","7.83",10,10,10,"8.08","0.1",0,0,"Green",1800,2000,1900
"85.42","Arabica","great lakes coffee uganda","Uganda","chesiyo farmer group","SL14","Washed / Wet","8.08",8,"7.83","7.67",8,"7.83",10,10,10,8,"0.12",0,0,"Green",1950,1950,1950
"85.42","Arabica","kona pacific farmers cooperative","United States (Hawaii)","NA","Hawaiian Kona","Natural / Dry","7.92","7.92","7.75","7.92","7.75","7.92",10,10,10,"8.25",0,4,0,"NA","NA","NA","NA"
"85.42","Arabica","nucoffee","Brazil","fazenda serra de três barras","Bourbon","Semi-washed / Semi-pulped",8,8,8,"7.67","7.75",8,10,10,10,8,"0.11",0,0,"Blue-Green",1250,1250,1250
"85.42","Arabica","grounds for health admin","El Salvador","sierra nevada","NA","NA","8.08","7.83","7.83","8.08","7.83","7.83",10,10,10,"7.92","0.01",0,0,"NA",1400,1400,1400
"85.33","Arabica","yunnan coffee exchange","China","pu'er city longke coffee co.ltd","Catimor","Natural / Dry",8,8,8,"7.83","7.83","7.75",10,10,10,"7.92","0.1",0,0,"Green",1700,1700,1700
"85.33","Arabica","essencecoffee","Guatemala","el injerto s.a.","Pacamara","Natural / Dry","7.83","7.75","7.83","7.67","7.83","8.58",10,10,10,"7.83","0.11",0,0,"Green",1770,1770,1770
"85.33","Arabica","the coffee source inc.","Costa Rica","several","Caturra","Washed / Wet","7.92","8.08",8,"7.92",8,"8.08",10,10,"9.33",8,0,0,0,"Bluish-Green",1300,1300,1300
"85.33","Arabica","the coffee source inc.","Costa Rica","several","Caturra","Washed / Wet",8,"7.58","7.58","7.67","8.08","8.5",10,10,10,"7.92","0.1",0,0,"Bluish-Green",1300,1300,1300
"85.33","Arabica","rashid moledina & co. (msa) ltd.","Kenya","NA","SL34","Washed / Wet","7.83","8.08","7.75","8.08","7.92","7.75",10,10,10,"7.92",0,0,0,"Green",1600,1600,1600
"85.33","Arabica","ibero kenya limited","Kenya","NA","SL34","Washed / Wet",8,"7.92","7.92","8.08","7.83","7.75",10,10,10,"7.83",0,0,0,"Green",1200,1200,1200
"85.33","Arabica","ethiopia commodity exchange","Ethiopia","phone number | 0911-513824 email: gmt.ft","NA","NA","7.83","7.83","7.92","8.08","7.75","7.83",10,10,10,"8.08","0.05",0,0,"NA","NA","NA","NA"
"85.33","Arabica","ethiopia commodity exchange","Ethiopia","NA","Typica","NA","7.92","7.83","7.75","8.33","7.75","7.75",10,10,10,8,"0.1",0,0,"NA","NA","NA","NA"
"85.25","Arabica","juan luis alvarado romero","Guatemala","la esperanza y anexos","Bourbon","NA",8,"7.92","7.75",8,"7.92","7.83",10,10,10,"7.83","0.1",0,2,"Green","NA","NA","NA"
"85.25","Arabica","exportadora de cafe condor s.a","Colombia","various","Caturra","Washed / Wet","8.17","7.92","7.83",8,"7.58","7.83",10,10,10,"7.92","0.11",0,0,"Green",1550,1550,1550
"85.25","Arabica","compañia colombiana agroindustrial s.a","Colombia","NA","Caturra","Natural / Dry","7.58","8.08","7.92","7.83",8,"7.92",10,10,10,"7.92","0.12",0,0,"Green",1550,1550,1550
"85.17","Arabica","nomura trading co., ltd.","Indonesia","NA","Sumatra Lintong","Semi-washed / Semi-pulped","7.75","7.83","7.67",8,"8.08","7.83",10,10,10,8,"0.11",0,0,"Green",1250,1400,1325
"85.17","Arabica","the coffee source inc.","Guatemala","coop. hoja blanca - fedecocagua","Caturra","Washed / Wet","8.25",8,"7.67","7.92","7.75","7.67",10,10,10,"7.92",0,0,0,"NA",1400,1400,1400
"85.08","Arabica","seid damtew coffee planataion","Ethiopia","seid damtew coffee planation","Other","Natural / Dry","7.75",8,"7.58",8,8,"7.92",10,10,10,"7.83","0.11",0,1,"Green","NA","NA","NA"
"85.08","Arabica","carcafe ltda ci","Colombia","NA","Caturra","Natural / Dry","8.17","7.83","7.58","8.08",8,"7.75",10,10,10,"7.67",0,0,0,"NA",2560,2560,2560
"85.08","Arabica","steven kil","Ethiopia","aricha coop","NA","Natural / Dry","8.42",8,"7.42",8,"7.92","7.92","9.33",10,10,"8.08","0.1",2,0,"Green",1700,1700,1700
"85.08","Arabica","eileen koyanagi","United States (Hawaii)","NA","Hawaiian Kona","Natural / Dry","7.58","7.83","7.83","7.92","7.83","8.17",10,10,10,"7.92","0.11",2,0,"Bluish-Green","NA","NA","NA"
"85.08","Arabica","carcafe ltda ci","Colombia","NA","Caturra","Natural / Dry","7.83",8,"7.75","7.75","7.83","7.83",10,10,10,"8.08","0.11",0,0,"Green",2136,2136,2136
"85.08","Arabica","kona pacific farmers cooperative","United States (Hawaii)","NA","NA","NA","8.08","8.17","7.92",8,"8.08",8,"9.33","9.33",10,"8.17","0.01",1,0,"NA","NA","NA","NA"
"85.08","Arabica","ethiopia commodity exchange","Ethiopia","NA","NA","NA","7.67",8,"7.83",8,"7.92","7.83",10,10,10,"7.83",0,0,0,"NA","NA","NA","NA"
"85.08","Arabica","kona pacific farmers cooperative","United States (Hawaii)","kona pacific farmers cooperative","NA","NA","7.5","7.92","8.25","7.83","7.92","7.75",10,10,10,"7.92",0,0,0,"NA","NA","NA","NA"
85,"Arabica","kyagalanyi coffee ltd","Uganda","mount elgon area","SL14","Washed / Wet","8.17","7.92","7.75","7.75","7.67","7.75",10,10,10,8,"0.11",0,0,"Green",1800,1800,1800
85,"Arabica","racafe & cia s.c.a","Colombia","NA","Caturra","Washed / Wet",8,"7.92","7.75","7.92","7.75","7.83",10,10,10,"7.83",0,0,0,"Green","NA","NA","NA"
85,"Arabica","troy quimby","Costa Rica","estate la patricia","Catuai","Washed / Wet","7.83",8,"7.58","7.92","7.92","7.83",10,10,10,"7.92","0.12",1,1,"Green",1900,1900,1900
85,"Arabica","el equimite, cafetal biodinámico","Mexico","various","Typica","Washed / Wet","7.83",8,"7.83","7.75","7.67","7.83",10,10,10,"8.08","0.09",0,0,"Green",1300,1300,1300
85,"Arabica","simon mahinda","Kenya","NA","NA","Washed / Wet","8.17","7.83","7.92","7.75","7.67","7.83",10,10,10,"7.83","0.11",0,5,"Green",1,1,1
85,"Arabica","rashid moledina & co. (msa) ltd.","Kenya","machure estate","SL34","Washed / Wet","7.75","7.83","7.75","8.08",8,"7.75",10,10,10,"7.83",0,0,0,"Green",1580,1580,1580
85,"Arabica","nucoffee","Brazil","sitío são geraldo","Mundo Novo","Natural / Dry",8,8,"7.83","7.83","7.67","7.67",10,10,10,8,"0.12",0,0,"Green",1100,1100,1100
85,"Arabica","young kim","Mexico","kassandra","Pacamara","NA","7.92","8.17","7.75","8.08","7.42","7.83",10,10,10,"7.83",0,0,0,"NA",1400,1400,1400
85,"Arabica","kona pacific farmers cooperative","United States (Hawaii)","kona pacific farmers cooperative","NA","NA","7.75","7.92","7.75","7.75",8,8,10,10,10,"7.83",0,0,0,"NA","NA","NA","NA"
85,"Arabica","carl walker","Guatemala","la igualdad","NA","NA","7.83","8.08","7.67",8,"7.75","7.67",10,10,10,8,"0.04",0,0,"NA","1066.8","1584.96","1325.88"
"84.92","Arabica","racafe & cia s.c.a","Colombia","NA","Caturra","Washed / Wet","7.92","7.92","7.67","7.83","7.92","7.83",10,10,10,"7.83",0,1,6,"NA","NA","NA","NA"
"84.92","Arabica","racafe & cia s.c.a","Colombia","NA","Caturra","Washed / Wet","7.92","7.83","7.75","7.83","7.75",8,10,10,10,"7.83","0.12",0,0,"Green",1600,1950,1775
"84.92","Arabica","lin, che-hao krude 林哲豪","Taiwan","baishengcun coffee 百勝村咖啡莊園","Typica","Semi-washed / Semi-pulped","7.67","7.83",8,"7.58",8,"7.92",10,10,10,"7.92","0.11",0,0,"Green",800,800,800
"84.92","Arabica","taylor winch (t) ltd","Tanzania, United Republic Of","hasambo amcos","Other","Washed / Wet",8,"7.83","7.83","7.92","7.75","7.75",10,10,10,"7.83","0.12",0,0,"Green",1620,1620,1620
"84.92","Arabica","racafe & cia s.c.a","Colombia","NA","Caturra","Washed / Wet","7.75","7.92","7.83","7.75","7.75",8,10,10,10,"7.92","0.11",0,0,"Green",1600,1950,1775
"84.92","Arabica","artemio zapata tejeda","Mexico","el suspiro","Typica","Semi-washed / Semi-pulped","7.75",8,"7.75","7.83","7.5","7.92",10,10,10,"8.17","0.11",0,0,"NA",1200,1200,1200
"84.92","Arabica","nucoffee","Brazil","fazenda grota funda","Bourbon","Natural / Dry",8,"7.92","7.75","7.75",8,"7.75",10,10,10,"7.75","0.11",0,0,"Green",1200,1200,1200
"84.92","Arabica","nucoffee","Brazil","sitio claro","Catuai","Natural / Dry",8,8,"7.75",8,"7.5","7.75",10,10,10,"7.92","0.12",0,0,"Green",1000,1000,1000
"84.92","Arabica","brian speckman","Kenya","NA","NA","NA",8,"7.67","7.83","8.17","7.92","7.75",10,10,10,"7.58","0.06",1,0,"NA","NA","NA","NA"
"84.83","Arabica","lin, che-hao krude 林哲豪","Taiwan","shi fang yuan 十方源","Typica","Natural / Dry","7.92","7.58","7.83","7.83","7.83","7.83",10,10,10,8,0,0,0,"Green",350,350,350
"84.83","Arabica","kawacom uganda ltd","Uganda","mt.elgon bugisu shamba 2","SL14","Natural / Dry","7.75","7.92","7.67","7.67","8.25","7.75",10,10,10,"7.83","0.12",0,0,"Green",1400,1900,1650
"84.83","Arabica","kona pacific farmers cooperative","United States (Hawaii)","NA","Hawaiian Kona","Natural / Dry","7.67","7.75","7.75","7.75","7.83",8,10,10,10,"8.08",0,3,0,"NA","NA","NA","NA"
"84.83","Arabica","ethiopia commodity exchange","Ethiopia","contact | sidacoop@ethionet.net","NA","NA","7.75","7.92","7.83","7.92","7.75","7.67",10,10,10,8,"0.1",0,0,"NA",1500,2000,1750
"84.83","Arabica","philip schluter","Ethiopia","contact | sidacoop@ethionet.net","NA","NA","7.42","7.92","7.92",8,"7.83","7.83",10,10,10,"7.92","0.1",0,0,"NA",1500,2000,1750
"84.75","Arabica","松澤宏樹 koju matsuzawa","Thailand","matsuzawa coffee","Caturra","Pulped natural / honey","7.75","7.75","7.75","7.75",8,"7.75",10,10,10,8,"0.12",0,0,"Green","NA","NA","NA"
"84.75","Arabica","lydiah mwangi","Kenya","karatina","SL34","Washed / Wet","7.92","7.83","7.58","7.92","7.75","7.83",10,10,10,"7.92","0.13",0,0,"Green",1800,1800,1800
"84.75","Arabica","cadexsa","Honduras","cerro bueno","Catuai","Washed / Wet","7.83","7.75",8,"7.67","7.67","7.67",10,10,10,"8.17","0.11",0,0,"Green",1450,1450,1450
"84.75","Arabica","the coffee source inc.","El Salvador","several","NA","NA","7.75",8,8,"8.33","7.67","7.92",10,10,"9.33","7.75","0.15",0,0,"NA",1200,1200,1200
"84.75","Arabica","grounds for health admin","Nicaragua","santa martha","NA","NA","7.83","7.58","7.58","7.83","7.75","7.67",10,10,10,"8.5","0.18",0,0,"NA",800,1050,925
"84.67","Arabica","consejo salvadoreño del café","El Salvador","monterrey","Bourbon","Washed / Wet","7.83","7.83","7.5",8,"7.83","7.67",10,10,10,8,0,0,0,"Blue-Green",1350,1350,1350
"84.67","Arabica","sanjava coffee","Indonesia","sran temanggung plantation","Java","Washed / Wet","7.92","7.83","7.75","7.75","7.75","7.75",10,10,10,"7.92","0.12",0,0,"Green",1200,1200,1200
"84.67","Arabica","松澤宏樹 koju matsuzawa","Japan","ada farm","Mundo Novo","Pulped natural / honey","7.75","7.75","7.75","7.42","8.08","7.83",10,10,10,"8.08","0.12",0,0,"Green",170,170,170
"84.67","Arabica","rodrigo soto","Costa Rica","rio jorco","Catuai","Washed / Wet","8.08","7.75","7.67","7.83","7.5","7.92",10,10,10,"7.92","0.1",0,0,"Blue-Green",1150,1150,1150
"84.67","Arabica","juan luis alvarado romero","Guatemala","san diego buena vista","Bourbon","Washed / Wet","7.75","7.83","7.58",8,"7.92","7.75",10,10,10,"7.83","0.1",0,0,"Green",1600,1600,1600
"84.67","Arabica","fabian calderon mora","Costa Rica","coopetarrazú","Caturra","Washed / Wet","8.17",8,"7.83","7.17","7.83","7.75",10,10,10,"7.92","0.12",0,0,"Green",1750,1750,1750
"84.67","Arabica","essencecoffee","Ethiopia","moplaco","Ethiopian Yirgacheffe","Washed / Wet","8.08","7.83","7.75","7.83","7.58","7.67",10,10,10,"7.92","0.1",0,0,"NA",1900,1900,1900
"84.67","Arabica","essencecoffee","Costa Rica","finca salaca las brisas","Other","Other","7.67","7.58","7.75","7.75","7.67","8.58",10,10,10,"7.67","0.08",0,0,"Green",1750,1750,1750
"84.67","Arabica","eric thormaehlen","Costa Rica","various","Catuai","Washed / Wet",8,"7.58","7.83","7.75","7.75","7.75",10,10,10,8,"0.11",0,0,"Green",1200,1200,1200
"84.67","Arabica","rob tuttle","Costa Rica","NA","NA","Washed / Wet","8.08","7.83","7.75","7.83","7.92",8,10,10,"9.33","7.92",0,1,0,"Green","NA","NA","NA"
"84.67","Arabica","cqi taiwan icp cqi台灣合作夥伴","Taiwan","dragon 龍咖啡","Typica","Washed / Wet",8,"7.92","7.75","7.75","7.75","7.75",10,10,10,"7.75","0.11",0,0,"Green",1000,1000,1000
"84.67","Arabica","compañia colombiana agroindustrial s.a","Colombia","NA","Caturra","Washed / Wet","7.75","7.83","7.75","7.83","7.75","7.83",10,10,10,"7.92",0,0,0,"Green",1550,1550,1550
